번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),파일명,한국어,,
2449,3,2017,측면,단어,KETI_SL_0000002449.MP4,화요일,,
2930,4,2017,정면,단어,KETI_SL_0000002930.MOV,화요일,,
3349,4,2017,측면,단어,KETI_SL_0000003349.MTS,화요일,,
3758,5,2017,정면,단어,KETI_SL_0000003758.MOV,화요일,,
4176,5,2017,측면,단어,KETI_SL_0000004176.MTS,화요일,,
4605,6,2017,정면,단어,KETI_SL_0000004605.MOV,화요일,,
5024,6,2017,측면,단어,KETI_SL_0000005024.MTS,화요일,,
5443,7,2017,정면,단어,KETI_SL_0000005443.MOV,화요일,,
5860,7,2017,측면,단어,KETI_SL_0000005860.MTS,화요일,,
6282,8,2017,정면,단어,KETI_SL_0000006282.MOV,화요일,,
6701,8,2017,측면,단어,KETI_SL_0000006701.MTS,화요일,,
7121,9,2017,정면,단어,KETI_SL_0000007121.MOV,화요일,,
7540,9,2017,측면,단어,KETI_SL_0000007540.MTS,화요일,,
7959,10,2017,정면,단어,KETI_SL_0000007959.MOV,화요일,,
8378,10,2017,측면,단어,KETI_SL_0000008378.MTS,화요일,,
416,1,2017,정면,단어,KETI_SL_0000000416.MOV,화약,,
835,1,2017,측면,단어,KETI_SL_0000000835.MTS,화약,,
1252,2,2017,정면,단어,KETI_SL_0000001252.MTS,화약,,
1671,2,2017,측면,단어,KETI_SL_0000001671.MTS,화약,,
2029,3,2017,정면,단어,KETI_SL_0000002029.MOV,화약,,
2448,3,2017,측면,단어,KETI_SL_0000002448.MP4,화약,,
2929,4,2017,정면,단어,KETI_SL_0000002929.MOV,화약,,
3348,4,2017,측면,단어,KETI_SL_0000003348.MTS,화약,,
3757,5,2017,정면,단어,KETI_SL_0000003757.MOV,화약,,
4175,5,2017,측면,단어,KETI_SL_0000004175.MTS,화약,,
4604,6,2017,정면,단어,KETI_SL_0000004604.MOV,화약,,
5023,6,2017,측면,단어,KETI_SL_0000005023.MTS,화약,,
5442,7,2017,정면,단어,KETI_SL_0000005442.MOV,화약,,
5859,7,2017,측면,단어,KETI_SL_0000005859.MTS,화약,,
6281,8,2017,정면,단어,KETI_SL_0000006281.MOV,화약,,
6700,8,2017,측면,단어,KETI_SL_0000006700.MTS,화약,,
7120,9,2017,정면,단어,KETI_SL_0000007120.MOV,화약,,
7539,9,2017,측면,단어,KETI_SL_0000007539.MTS,화약,,
7958,10,2017,정면,단어,KETI_SL_0000007958.MOV,화약,,
8377,10,2017,측면,단어,KETI_SL_0000008377.MTS,화약,,
8404,1,2017,정면,문장,KETI_SL_0000008404.MOV,화상을 입었어요,,
8509,1,2017,측면,문장,KETI_SL_0000008509.MTS,화상을 입었어요,,
8614,2,2017,정면,문장,KETI_SL_0000008614.MTS,화상을 입었어요,,
8719,2,2017,측면,문장,KETI_SL_0000008719.MTS,화상을 입었어요,,
8824,3,2017,정면,문장,KETI_SL_0000008824.MOV,화상을 입었어요,,
8929,3,2017,측면,문장,KETI_SL_0000008929.MP4,화상을 입었어요,,
9034,4,2017,정면,문장,KETI_SL_0000009034.MOV,화상을 입었어요,,
9139,4,2017,측면,문장,KETI_SL_0000009139.MTS,화상을 입었어요,,
9244,5,2017,정면,문장,KETI_SL_0000009244.MOV,화상을 입었어요,,
9349,5,2017,측면,문장,KETI_SL_0000009349.MTS,화상을 입었어요,,
9454,6,2017,정면,문장,KETI_SL_0000009454.MOV,화상을 입었어요,,
9558,6,2017,측면,문장,KETI_SL_0000009558.MTS,화상을 입었어요,,
9664,7,2017,정면,문장,KETI_SL_0000009664.MOV,화상을 입었어요,,
9769,7,2017,측면,문장,KETI_SL_0000009769.MTS,화상을 입었어요,,
9874,8,2017,정면,문장,KETI_SL_0000009874.MOV,화상을 입었어요,,
9979,8,2017,측면,문장,KETI_SL_0000009979.MTS,화상을 입었어요,,
10084,9,2017,정면,문장,KETI_SL_0000010084.MOV,화상을 입었어요,,
10189,9,2017,측면,문장,KETI_SL_0000010189.MTS,화상을 입었어요,,
10294,10,2017,정면,문장,KETI_SL_0000010294.MOV,화상을 입었어요,,
10399,10,2017,측면,문장,KETI_SL_0000010399.MTS,화상을 입었어요,,
415,1,2017,정면,단어,KETI_SL_0000000415.MOV,화상,,
834,1,2017,측면,단어,KETI_SL_0000000834.MTS,화상,,
1251,2,2017,정면,단어,KETI_SL_0000001251.MTS,화상,,
1670,2,2017,측면,단어,KETI_SL_0000001670.MTS,화상,,
2028,3,2017,정면,단어,KETI_SL_0000002028.MOV,화상,,
2447,3,2017,측면,단어,KETI_SL_0000002447.MP4,화상,,
2928,4,2017,정면,단어,KETI_SL_0000002928.MOV,화상,,
3347,4,2017,측면,단어,KETI_SL_0000003347.MTS,화상,,
3756,5,2017,정면,단어,KETI_SL_0000003756.MOV,화상,,
4174,5,2017,측면,단어,KETI_SL_0000004174.MTS,화상,,
4603,6,2017,정면,단어,KETI_SL_0000004603.MOV,화상,,
5022,6,2017,측면,단어,KETI_SL_0000005022.MTS,화상,,
5441,7,2017,정면,단어,KETI_SL_0000005441.MOV,화상,,
5858,7,2017,측면,단어,KETI_SL_0000005858.MTS,화상,,
6280,8,2017,정면,단어,KETI_SL_0000006280.MOV,화상,,
6699,8,2017,측면,단어,KETI_SL_0000006699.MTS,화상,,
7119,9,2017,정면,단어,KETI_SL_0000007119.MOV,화상,,
7538,9,2017,측면,단어,KETI_SL_0000007538.MTS,화상,,
7957,10,2017,정면,단어,KETI_SL_0000007957.MOV,화상,,
8376,10,2017,측면,단어,KETI_SL_0000008376.MTS,화상,,
8431,1,2017,정면,문장,KETI_SL_0000008431.MOV,홍수가 나서 집이 물에 잠기고 있어요,,
8536,1,2017,측면,문장,KETI_SL_0000008536.MTS,홍수가 나서 집이 물에 잠기고 있어요,,
8641,2,2017,정면,문장,KETI_SL_0000008641.MTS,홍수가 나서 집이 물에 잠기고 있어요,,
8746,2,2017,측면,문장,KETI_SL_0000008746.MTS,홍수가 나서 집이 물에 잠기고 있어요,,
8851,3,2017,정면,문장,KETI_SL_0000008851.MOV,홍수가 나서 집이 물에 잠기고 있어요,,
8956,3,2017,측면,문장,KETI_SL_0000008956.MP4,홍수가 나서 집이 물에 잠기고 있어요,,
9061,4,2017,정면,문장,KETI_SL_0000009061.MOV,홍수가 나서 집이 물에 잠기고 있어요,,
9166,4,2017,측면,문장,KETI_SL_0000009166.MTS,홍수가 나서 집이 물에 잠기고 있어요,,
9271,5,2017,정면,문장,KETI_SL_0000009271.MOV,홍수가 나서 집이 물에 잠기고 있어요,,
9376,5,2017,측면,문장,KETI_SL_0000009376.MTS,홍수가 나서 집이 물에 잠기고 있어요,,
9481,6,2017,정면,문장,KETI_SL_0000009481.MOV,홍수가 나서 집이 물에 잠기고 있어요,,
9585,6,2017,측면,문장,KETI_SL_0000009585.MTS,홍수가 나서 집이 물에 잠기고 있어요,,
9691,7,2017,정면,문장,KETI_SL_0000009691.MOV,홍수가 나서 집이 물에 잠기고 있어요,,
9796,7,2017,측면,문장,KETI_SL_0000009796.MTS,홍수가 나서 집이 물에 잠기고 있어요,,
9901,8,2017,정면,문장,KETI_SL_0000009901.MOV,홍수가 나서 집이 물에 잠기고 있어요,,
10006,8,2017,측면,문장,KETI_SL_0000010006.MTS,홍수가 나서 집이 물에 잠기고 있어요,,
10111,9,2017,정면,문장,KETI_SL_0000010111.MOV,홍수가 나서 집이 물에 잠기고 있어요,,
10216,9,2017,측면,문장,KETI_SL_0000010216.MTS,홍수가 나서 집이 물에 잠기고 있어요,,
10321,10,2017,정면,문장,KETI_SL_0000010321.MOV,홍수가 나서 집이 물에 잠기고 있어요,,
10426,10,2017,측면,문장,KETI_SL_0000010426.MTS,홍수가 나서 집이 물에 잠기고 있어요,,
414,1,2017,정면,단어,KETI_SL_0000000414.MOV,홍수,,
833,1,2017,측면,단어,KETI_SL_0000000833.MTS,홍수,,
1250,2,2017,정면,단어,KETI_SL_0000001250.MTS,홍수,,
1669,2,2017,측면,단어,KETI_SL_0000001669.MTS,홍수,,
2027,3,2017,정면,단어,KETI_SL_0000002027.MOV,홍수,,
2446,3,2017,측면,단어,KETI_SL_0000002446.MP4,홍수,,
2927,4,2017,정면,단어,KETI_SL_0000002927.MOV,홍수,,
3346,4,2017,측면,단어,KETI_SL_0000003346.MTS,홍수,,
3755,5,2017,정면,단어,KETI_SL_0000003755.MOV,홍수,,
4173,5,2017,측면,단어,KETI_SL_0000004173.MTS,홍수,,
4602,6,2017,정면,단어,KETI_SL_0000004602.MOV,홍수,,
5021,6,2017,측면,단어,KETI_SL_0000005021.MTS,홍수,,
5440,7,2017,정면,단어,KETI_SL_0000005440.MOV,홍수,,
5857,7,2017,측면,단어,KETI_SL_0000005857.MTS,홍수,,
6279,8,2017,정면,단어,KETI_SL_0000006279.MOV,홍수,,
6698,8,2017,측면,단어,KETI_SL_0000006698.MTS,홍수,,
7118,9,2017,정면,단어,KETI_SL_0000007118.MOV,홍수,,
7537,9,2017,측면,단어,KETI_SL_0000007537.MTS,홍수,,
7956,10,2017,정면,단어,KETI_SL_0000007956.MOV,홍수,,
8375,10,2017,측면,단어,KETI_SL_0000008375.MTS,홍수,,
413,1,2017,정면,단어,KETI_SL_0000000413.MOV,호흡기,,
832,1,2017,측면,단어,KETI_SL_0000000832.MTS,호흡기,,
1249,2,2017,정면,단어,KETI_SL_0000001249.MTS,호흡기,,
1668,2,2017,측면,단어,KETI_SL_0000001668.MTS,호흡기,,
2026,3,2017,정면,단어,KETI_SL_0000002026.MOV,호흡기,,
2445,3,2017,측면,단어,KETI_SL_0000002445.MP4,호흡기,,
2926,4,2017,정면,단어,KETI_SL_0000002926.MOV,호흡기,,
3345,4,2017,측면,단어,KETI_SL_0000003345.MTS,호흡기,,
3754,5,2017,정면,단어,KETI_SL_0000003754.MOV,호흡기,,
4172,5,2017,측면,단어,KETI_SL_0000004172.MTS,호흡기,,
4601,6,2017,정면,단어,KETI_SL_0000004601.MOV,호흡기,,
5020,6,2017,측면,단어,KETI_SL_0000005020.MTS,호흡기,,
5439,7,2017,정면,단어,KETI_SL_0000005439.MOV,호흡기,,
5856,7,2017,측면,단어,KETI_SL_0000005856.MTS,호흡기,,
6278,8,2017,정면,단어,KETI_SL_0000006278.MOV,호흡기,,
6697,8,2017,측면,단어,KETI_SL_0000006697.MTS,호흡기,,
7117,9,2017,정면,단어,KETI_SL_0000007117.MOV,호흡기,,
7536,9,2017,측면,단어,KETI_SL_0000007536.MTS,호흡기,,
7955,10,2017,정면,단어,KETI_SL_0000007955.MOV,호흡기,,
8374,10,2017,측면,단어,KETI_SL_0000008374.MTS,호흡기,,
412,1,2017,정면,단어,KETI_SL_0000000412.MOV,호흡곤란,,
831,1,2017,측면,단어,KETI_SL_0000000831.MTS,호흡곤란,,
1248,2,2017,정면,단어,KETI_SL_0000001248.MTS,호흡곤란,,
1667,2,2017,측면,단어,KETI_SL_0000001667.MTS,호흡곤란,,
2025,3,2017,정면,단어,KETI_SL_0000002025.MOV,호흡곤란,,
2444,3,2017,측면,단어,KETI_SL_0000002444.MP4,호흡곤란,,
2925,4,2017,정면,단어,KETI_SL_0000002925.MOV,호흡곤란,,
3344,4,2017,측면,단어,KETI_SL_0000003344.MTS,호흡곤란,,
3753,5,2017,정면,단어,KETI_SL_0000003753.MOV,호흡곤란,,
4171,5,2017,측면,단어,KETI_SL_0000004171.MTS,호흡곤란,,
4600,6,2017,정면,단어,KETI_SL_0000004600.MOV,호흡곤란,,
5019,6,2017,측면,단어,KETI_SL_0000005019.MTS,호흡곤란,,
5438,7,2017,정면,단어,KETI_SL_0000005438.MOV,호흡곤란,,
5855,7,2017,측면,단어,KETI_SL_0000005855.MTS,호흡곤란,,
6277,8,2017,정면,단어,KETI_SL_0000006277.MOV,호흡곤란,,
6696,8,2017,측면,단어,KETI_SL_0000006696.MTS,호흡곤란,,
7116,9,2017,정면,단어,KETI_SL_0000007116.MOV,호흡곤란,,
7535,9,2017,측면,단어,KETI_SL_0000007535.MTS,호흡곤란,,
7954,10,2017,정면,단어,KETI_SL_0000007954.MOV,호흡곤란,,
8373,10,2017,측면,단어,KETI_SL_0000008373.MTS,호흡곤란,,
411,1,2017,정면,단어,KETI_SL_0000000411.MOV,형,,
830,1,2017,측면,단어,KETI_SL_0000000830.MTS,형,,
1247,2,2017,정면,단어,KETI_SL_0000001247.MTS,형,,
1666,2,2017,측면,단어,KETI_SL_0000001666.MTS,형,,
2024,3,2017,정면,단어,KETI_SL_0000002024.MOV,형,,
2443,3,2017,측면,단어,KETI_SL_0000002443.MP4,형,,
2924,4,2017,정면,단어,KETI_SL_0000002924.MOV,형,,
3343,4,2017,측면,단어,KETI_SL_0000003343.MTS,형,,
3752,5,2017,정면,단어,KETI_SL_0000003752.MOV,형,,
4170,5,2017,측면,단어,KETI_SL_0000004170.MTS,형,,
4599,6,2017,정면,단어,KETI_SL_0000004599.MOV,형,,
5018,6,2017,측면,단어,KETI_SL_0000005018.MTS,형,,
5437,7,2017,정면,단어,KETI_SL_0000005437.MOV,형,,
5854,7,2017,측면,단어,KETI_SL_0000005854.MTS,형,,
6276,8,2017,정면,단어,KETI_SL_0000006276.MOV,형,,
6695,8,2017,측면,단어,KETI_SL_0000006695.MTS,형,,
7115,9,2017,정면,단어,KETI_SL_0000007115.MOV,형,,
7534,9,2017,측면,단어,KETI_SL_0000007534.MTS,형,,
7953,10,2017,정면,단어,KETI_SL_0000007953.MOV,형,,
8372,10,2017,측면,단어,KETI_SL_0000008372.MTS,형,,
410,1,2017,정면,단어,KETI_SL_0000000410.MOV,협박,,
829,1,2017,측면,단어,KETI_SL_0000000829.MTS,협박,,
1246,2,2017,정면,단어,KETI_SL_0000001246.MTS,협박,,
1665,2,2017,측면,단어,KETI_SL_0000001665.MTS,협박,,
2023,3,2017,정면,단어,KETI_SL_0000002023.MOV,협박,,
2442,3,2017,측면,단어,KETI_SL_0000002442.MP4,협박,,
2923,4,2017,정면,단어,KETI_SL_0000002923.MOV,협박,,
3342,4,2017,측면,단어,KETI_SL_0000003342.MTS,협박,,
3751,5,2017,정면,단어,KETI_SL_0000003751.MOV,협박,,
4169,5,2017,측면,단어,KETI_SL_0000004169.MTS,협박,,
4598,6,2017,정면,단어,KETI_SL_0000004598.MOV,협박,,
5017,6,2017,측면,단어,KETI_SL_0000005017.MTS,협박,,
5436,7,2017,정면,단어,KETI_SL_0000005436.MOV,협박,,
5853,7,2017,측면,단어,KETI_SL_0000005853.MTS,협박,,
6275,8,2017,정면,단어,KETI_SL_0000006275.MOV,협박,,
6694,8,2017,측면,단어,KETI_SL_0000006694.MTS,협박,,
7114,9,2017,정면,단어,KETI_SL_0000007114.MOV,협박,,
7533,9,2017,측면,단어,KETI_SL_0000007533.MTS,협박,,
7952,10,2017,정면,단어,KETI_SL_0000007952.MOV,협박,,
8371,10,2017,측면,단어,KETI_SL_0000008371.MTS,협박,,
409,1,2017,정면,단어,KETI_SL_0000000409.MOV,현관앞,,
828,1,2017,측면,단어,KETI_SL_0000000828.MTS,현관앞,,
1245,2,2017,정면,단어,KETI_SL_0000001245.MTS,현관앞,,
1664,2,2017,측면,단어,KETI_SL_0000001664.MTS,현관앞,,
2021,3,2017,정면,단어,KETI_SL_0000002021.MOV,현관앞,,
2440,3,2017,측면,단어,KETI_SL_0000002440.MP4,현관앞,,
2922,4,2017,정면,단어,KETI_SL_0000002922.MOV,현관앞,,
3341,4,2017,측면,단어,KETI_SL_0000003341.MTS,현관앞,,
3750,5,2017,정면,단어,KETI_SL_0000003750.MOV,현관앞,,
4168,5,2017,측면,단어,KETI_SL_0000004168.MTS,현관앞,,
4597,6,2017,정면,단어,KETI_SL_0000004597.MOV,현관앞,,
5016,6,2017,측면,단어,KETI_SL_0000005016.MTS,현관앞,,
5435,7,2017,정면,단어,KETI_SL_0000005435.MOV,현관앞,,
5852,7,2017,측면,단어,KETI_SL_0000005852.MTS,현관앞,,
6274,8,2017,정면,단어,KETI_SL_0000006274.MOV,현관앞,,
6693,8,2017,측면,단어,KETI_SL_0000006693.MTS,현관앞,,
7113,9,2017,정면,단어,KETI_SL_0000007113.MOV,현관앞,,
7532,9,2017,측면,단어,KETI_SL_0000007532.MTS,현관앞,,
7951,10,2017,정면,단어,KETI_SL_0000007951.MOV,현관앞,,
8370,10,2017,측면,단어,KETI_SL_0000008370.MTS,현관앞,,
408,1,2017,정면,단어,KETI_SL_0000000408.MOV,현관,,
827,1,2017,측면,단어,KETI_SL_0000000827.MTS,현관,,
1244,2,2017,정면,단어,KETI_SL_0000001244.MTS,현관,,
1663,2,2017,측면,단어,KETI_SL_0000001663.MTS,현관,,
2020,3,2017,정면,단어,KETI_SL_0000002020.MOV,현관,,
2439,3,2017,측면,단어,KETI_SL_0000002439.MP4,현관,,
2921,4,2017,정면,단어,KETI_SL_0000002921.MOV,현관,,
3340,4,2017,측면,단어,KETI_SL_0000003340.MTS,현관,,
3749,5,2017,정면,단어,KETI_SL_0000003749.MOV,현관,,
4167,5,2017,측면,단어,KETI_SL_0000004167.MTS,현관,,
4596,6,2017,정면,단어,KETI_SL_0000004596.MOV,현관,,
5015,6,2017,측면,단어,KETI_SL_0000005015.MTS,현관,,
5434,7,2017,정면,단어,KETI_SL_0000005434.MOV,현관,,
5851,7,2017,측면,단어,KETI_SL_0000005851.MTS,현관,,
6273,8,2017,정면,단어,KETI_SL_0000006273.MOV,현관,,
6692,8,2017,측면,단어,KETI_SL_0000006692.MTS,현관,,
7112,9,2017,정면,단어,KETI_SL_0000007112.MOV,현관,,
7531,9,2017,측면,단어,KETI_SL_0000007531.MTS,현관,,
7950,10,2017,정면,단어,KETI_SL_0000007950.MOV,현관,,
8369,10,2017,측면,단어,KETI_SL_0000008369.MTS,현관,,
407,1,2017,정면,단어,KETI_SL_0000000407.MOV,허벅지,,
826,1,2017,측면,단어,KETI_SL_0000000826.MTS,허벅지,,
1243,2,2017,정면,단어,KETI_SL_0000001243.MTS,허벅지,,
1662,2,2017,측면,단어,KETI_SL_0000001662.MTS,허벅지,,
2019,3,2017,정면,단어,KETI_SL_0000002019.MOV,허벅지,,
2438,3,2017,측면,단어,KETI_SL_0000002438.MP4,허벅지,,
2920,4,2017,정면,단어,KETI_SL_0000002920.MOV,허벅지,,
3339,4,2017,측면,단어,KETI_SL_0000003339.MTS,허벅지,,
3748,5,2017,정면,단어,KETI_SL_0000003748.MOV,허벅지,,
4166,5,2017,측면,단어,KETI_SL_0000004166.MTS,허벅지,,
4595,6,2017,정면,단어,KETI_SL_0000004595.MOV,허벅지,,
5014,6,2017,측면,단어,KETI_SL_0000005014.MTS,허벅지,,
5433,7,2017,정면,단어,KETI_SL_0000005433.MOV,허벅지,,
5850,7,2017,측면,단어,KETI_SL_0000005850.MTS,허벅지,,
6272,8,2017,정면,단어,KETI_SL_0000006272.MOV,허벅지,,
6691,8,2017,측면,단어,KETI_SL_0000006691.MTS,허벅지,,
7111,9,2017,정면,단어,KETI_SL_0000007111.MOV,허벅지,,
7530,9,2017,측면,단어,KETI_SL_0000007530.MTS,허벅지,,
7949,10,2017,정면,단어,KETI_SL_0000007949.MOV,허벅지,,
8368,10,2017,측면,단어,KETI_SL_0000008368.MTS,허벅지,,
8481,1,2017,정면,문장,KETI_SL_0000008481.MOV,허리가 아파서 일어날 수 없어요,,
8586,1,2017,측면,문장,KETI_SL_0000008586.MTS,허리가 아파서 일어날 수 없어요,,
8691,2,2017,정면,문장,KETI_SL_0000008691.MTS,허리가 아파서 일어날 수 없어요,,
8796,2,2017,측면,문장,KETI_SL_0000008796.MTS,허리가 아파서 일어날 수 없어요,,
8901,3,2017,정면,문장,KETI_SL_0000008901.MOV,허리가 아파서 일어날 수 없어요,,
9006,3,2017,측면,문장,KETI_SL_0000009006.MP4,허리가 아파서 일어날 수 없어요,,
9111,4,2017,정면,문장,KETI_SL_0000009111.MOV,허리가 아파서 일어날 수 없어요,,
9216,4,2017,측면,문장,KETI_SL_0000009216.MTS,허리가 아파서 일어날 수 없어요,,
9321,5,2017,정면,문장,KETI_SL_0000009321.MOV,허리가 아파서 일어날 수 없어요,,
9426,5,2017,측면,문장,KETI_SL_0000009426.MTS,허리가 아파서 일어날 수 없어요,,
9531,6,2017,정면,문장,KETI_SL_0000009531.MOV,허리가 아파서 일어날 수 없어요,,
9635,6,2017,측면,문장,KETI_SL_0000009635.MTS,허리가 아파서 일어날 수 없어요,,
9741,7,2017,정면,문장,KETI_SL_0000009741.MOV,허리가 아파서 일어날 수 없어요,,
9846,7,2017,측면,문장,KETI_SL_0000009846.MTS,허리가 아파서 일어날 수 없어요,,
9951,8,2017,정면,문장,KETI_SL_0000009951.MOV,허리가 아파서 일어날 수 없어요,,
10056,8,2017,측면,문장,KETI_SL_0000010056.MTS,허리가 아파서 일어날 수 없어요,,
10161,9,2017,정면,문장,KETI_SL_0000010161.MOV,허리가 아파서 일어날 수 없어요,,
10266,9,2017,측면,문장,KETI_SL_0000010266.MTS,허리가 아파서 일어날 수 없어요,,
10371,10,2017,정면,문장,KETI_SL_0000010371.MOV,허리가 아파서 일어날 수 없어요,,
10476,10,2017,측면,문장,KETI_SL_0000010476.MTS,허리가 아파서 일어날 수 없어요,,
406,1,2017,정면,단어,KETI_SL_0000000406.MOV,허리,,
825,1,2017,측면,단어,KETI_SL_0000000825.MTS,허리,,
1242,2,2017,정면,단어,KETI_SL_0000001242.MTS,허리,,
1661,2,2017,측면,단어,KETI_SL_0000001661.MTS,허리,,
2018,3,2017,정면,단어,KETI_SL_0000002018.MOV,허리,,
2437,3,2017,측면,단어,KETI_SL_0000002437.MP4,허리,,
2919,4,2017,정면,단어,KETI_SL_0000002919.MOV,허리,,
3338,4,2017,측면,단어,KETI_SL_0000003338.MTS,허리,,
3747,5,2017,정면,단어,KETI_SL_0000003747.MOV,허리,,
4165,5,2017,측면,단어,KETI_SL_0000004165.MTS,허리,,
4594,6,2017,정면,단어,KETI_SL_0000004594.MOV,허리,,
5013,6,2017,측면,단어,KETI_SL_0000005013.MTS,허리,,
5432,7,2017,정면,단어,KETI_SL_0000005432.MOV,허리,,
5849,7,2017,측면,단어,KETI_SL_0000005849.MTS,허리,,
6271,8,2017,정면,단어,KETI_SL_0000006271.MOV,허리,,
6690,8,2017,측면,단어,KETI_SL_0000006690.MTS,허리,,
7110,9,2017,정면,단어,KETI_SL_0000007110.MOV,허리,,
7529,9,2017,측면,단어,KETI_SL_0000007529.MTS,허리,,
7948,10,2017,정면,단어,KETI_SL_0000007948.MOV,허리,,
8367,10,2017,측면,단어,KETI_SL_0000008367.MTS,허리,,
8424,1,2017,정면,문장,KETI_SL_0000008424.MOV,해파리에게 쏘였어요,,
8529,1,2017,측면,문장,KETI_SL_0000008529.MTS,해파리에게 쏘였어요,,
8634,2,2017,정면,문장,KETI_SL_0000008634.MTS,해파리에게 쏘였어요,,
8739,2,2017,측면,문장,KETI_SL_0000008739.MTS,해파리에게 쏘였어요,,
8844,3,2017,정면,문장,KETI_SL_0000008844.MOV,해파리에게 쏘였어요,,
8949,3,2017,측면,문장,KETI_SL_0000008949.MP4,해파리에게 쏘였어요,,
9054,4,2017,정면,문장,KETI_SL_0000009054.MOV,해파리에게 쏘였어요,,
9159,4,2017,측면,문장,KETI_SL_0000009159.MTS,해파리에게 쏘였어요,,
9264,5,2017,정면,문장,KETI_SL_0000009264.MOV,해파리에게 쏘였어요,,
9369,5,2017,측면,문장,KETI_SL_0000009369.MTS,해파리에게 쏘였어요,,
9474,6,2017,정면,문장,KETI_SL_0000009474.MOV,해파리에게 쏘였어요,,
9578,6,2017,측면,문장,KETI_SL_0000009578.MTS,해파리에게 쏘였어요,,
9684,7,2017,정면,문장,KETI_SL_0000009684.MOV,해파리에게 쏘였어요,,
9789,7,2017,측면,문장,KETI_SL_0000009789.MTS,해파리에게 쏘였어요,,
9894,8,2017,정면,문장,KETI_SL_0000009894.MOV,해파리에게 쏘였어요,,
9999,8,2017,측면,문장,KETI_SL_0000009999.MTS,해파리에게 쏘였어요,,
10104,9,2017,정면,문장,KETI_SL_0000010104.MOV,해파리에게 쏘였어요,,
10209,9,2017,측면,문장,KETI_SL_0000010209.MTS,해파리에게 쏘였어요,,
10314,10,2017,정면,문장,KETI_SL_0000010314.MOV,해파리에게 쏘였어요,,
10419,10,2017,측면,문장,KETI_SL_0000010419.MTS,해파리에게 쏘였어요,,
405,1,2017,정면,단어,KETI_SL_0000000405.MOV,해열제,,
824,1,2017,측면,단어,KETI_SL_0000000824.MTS,해열제,,
